Année;Code région académique;Code région Insee;Libellé région académique;Discipline;IPS moyen;Caractéristiques;Score moyen;Ecart type;Groupe 1;Groupe 2;Groupe 3;Groupe 4;Groupe 5;Groupe 6
2021;17;52;PAYS DE LA LOIRE;Français;108.0;Ensemble;263;45.3;6.9;12.8;20.5;21.5;17.4;20.9
2021;17;52;PAYS DE LA LOIRE;Français;108.0;Fille;270;45.2;4.8;10.4;19.1;21.3;19.1;25.3
2021;17;52;PAYS DE LA LOIRE;Français;108.0;Garçon;257;44.3;8.8;15.1;21.9;21.6;15.8;16.8
2021;17;52;PAYS DE LA LOIRE;Mathématiques;108.0;Fille;257;48.7;10.9;15.9;20.0;19.3;15.3;18.5
2021;18;93;PROVENCE-ALPES-COTE D'AZUR;Mathématiques;104.1;Ensemble;253;52.4;14.8;16.5;18.8;17.6;13.8;18.5
2021;;;NATIONAL;Mathématiques;;Garçon;258;55.7;15.2;14.3;16.8;17.0;14.7;21.9
2022;01;84;AUVERGNE-RHONE-ALPES;Français;108.0;Ensemble;261;46.9;9.0;14.3;19.3;20.0;16.8;20.7
2022;01;84;AUVERGNE-RHONE-ALPES;Français;108.0;Fille;268;47.2;6.8;12.3;18.1;20.0;18.0;24.7
2022;01;84;AUVERGNE-RHONE-ALPES;Français;108.0;Garçon;255;45.8;11.0;16.2;20.4;20.0;15.6;16.8
2022;01;84;AUVERGNE-RHONE-ALPES;Mathématiques;108.0;Fille;254;49.4;12.5;17.8;20.6;18.4;13.5;17.2
2022;02;27;BOURGOGNE-FRANCHE-COMTE;Français;102.0;Ensemble;256;45.2;10.3;16.1;21.2;20.3;15.4;16.7
2022;04;24;CENTRE-VAL DE LOIRE;Français;103.3;Ensemble;256;45.6;10.0;16.3;21.3;19.6;15.7;17.1
2022;04;24;CENTRE-VAL DE LOIRE;Français;103.3;Fille;263;45.9;7.2;14.1;20.0;20.1;17.5;21.0
2022;04;24;CENTRE-VAL DE LOIRE;Mathématiques;103.3;Garçon;256;51.5;13.2;16.9;19.4;17.3;13.8;19.5
2022;05;94;CORSE;Français;102.3;Ensemble;257;46.1;9.9;16.2;19.9;19.9;16.8;17.3
2022;05;94;CORSE;Français;102.3;Fille;264;46.0;7.5;13.7;17.9;20.7;18.3;21.9
2022;05;94;CORSE;Mathématiques;102.3;Garçon;257;51.9;11.8;16.7;18.9;19.2;15.7;17.7
2022;06;44;GRAND EST;Français;100.5;Ensemble;255;45.8;10.8;16.7;20.8;19.8;15.5;16.4
2022;06;44;GRAND EST;Mathématiques;100.5;Ensemble;255;51.1;13.5;17.4;19.5;17.6;13.5;18.5
2022;06;44;GRAND EST;Mathématiques;100.5;Fille;250;48.7;14.5;19.4;20.9;17.5;12.5;15.2
2022;06;44;GRAND EST;Mathématiques;100.5;Garçon;259;52.9;12.5;15.5;18.2;17.7;14.4;21.6
2022;08;03;GUYANE;Français;81.3;Garçon;203;46.2;55.7;16.8;11.2;8.2;4.1;4.0
2022;09;32;HAUTS-DE-FRANCE;Mathématiques;98.4;Fille;242;46.6;18.6;21.2;21.5;16.5;10.7;11.6
2022;09;32;HAUTS-DE-FRANCE;Mathématiques;98.4;Garçon;252;51.3;15.1;18.2;19.2;17.1;12.7;17.7
2022;10;11;ILE-DE-FRANCE;Français;111.6;Garçon;255;48.1;12.1;16.6;19.6;18.6;15.1;18.1
2022;10;11;ILE-DE-FRANCE;Mathématiques;111.6;Fille;251;51.9;15.9;18.7;19.6;16.4;12.1;17.3
2022;12;02;MARTINIQUE;Français;101.6;Ensemble;245;46.7;17.3;19.5;19.3;17.5;13.8;12.5
2022;12;02;MARTINIQUE;Mathématiques;101.6;Ensemble;233;48.3;26.6;22.4;19.2;13.0;9.2;9.6
2022;14;28;NORMANDIE;Français;102.5;Ensemble;251;45.4;12.3;18.3;21.5;19.0;14.2;14.7
2022;14;28;NORMANDIE;Mathématiques;102.5;Ensemble;250;49.7;15.7;18.9;20.0;17.1;12.7;15.7
2022;14;28;NORMANDIE;Mathématiques;102.5;Fille;245;47.1;16.9;20.9;21.3;16.7;11.6;12.6
2022;14;28;NORMANDIE;Mathématiques;102.5;Garçon;254;51.6;14.5;17.0;18.7;17.4;13.7;18.6
2022;16;76;OCCITANIE;Français;106.7;Ensemble;258;47.1;10.1;15.4;20.5;19.7;15.7;18.7
2022;16;76;OCCITANIE;Français;106.7;Fille;265;47.6;7.7;13.2;19.2;19.8;17.3;22.8
2022;18;93;PROVENCE-ALPES-COTE D'AZUR;Français;105.3;Garçon;251;45.3;12.6;17.4;21.8;19.6;14.3;14.3
2023;01;84;AUVERGNE-RHONE-ALPES;Français;109.0;Ensemble;261;48.3;9.2;14.4;19.7;19.7;16.5;20.5
2023;01;84;AUVERGNE-RHONE-ALPES;Français;109.0;Garçon;254;46.7;11.6;16.4;21.1;19.5;15.1;16.2
2023;03;53;BRETAGNE;Français;110.6;Fille;270;46.8;5.5;11.5;18.3;21.1;18.8;24.8
2023;04;24;CENTRE-VAL DE LOIRE;Mathématiques;103.1;Garçon;257;52.1;13.2;16.5;18.8;17.5;13.8;20.2
2023;05;94;CORSE;Français;101.7;Garçon;248;44.1;13.1;18.9;23.1;19.2;13.2;12.6
2023;05;94;CORSE;Mathématiques;101.7;Fille;245;46.2;15.7;22.0;21.2;16.2;12.3;12.6
2023;05;94;CORSE;Mathématiques;101.7;Garçon;254;49.3;12.3;17.6;19.9;18.9;14.2;17.2
2023;06;44;GRAND EST;Mathématiques;101.0;Ensemble;255;52.0;13.6;17.1;19.5;17.5;13.4;18.9
2023;06;44;GRAND EST;Mathématiques;101.0;Fille;250;49.2;14.9;19.2;20.8;17.2;12.5;15.3
2023;07;01;GUADELOUPE;Français;96.8;Garçon;233;46.9;26.3;20.9;20.0;14.6;9.9;8.3
2023;07;01;GUADELOUPE;Mathématiques;96.8;Fille;226;45.3;30.6;23.5;18.9;13.0;7.7;6.2
2023;08;03;GUYANE;Français;81.9;Ensemble;206;47.3;52.2;18.0;13.0;7.5;4.6;4.7
2023;08;03;GUYANE;Mathématiques;81.9;Ensemble;196;43.4;63.7;17.0;8.7;5.3;2.7;2.6
2023;09;32;HAUTS-DE-FRANCE;Français;99.1;Ensemble;249;45.9;13.4;18.7;21.7;19.0;13.5;13.8
2023;09;32;HAUTS-DE-FRANCE;Mathématiques;99.1;Ensemble;248;49.9;16.5;19.7;19.8;16.9;12.1;15.0
2023;11;04;LA REUNION;Mathématiques;88.3;Fille;232;45.9;25.6;25.3;19.8;13.0;8.0;8.4
2023;12;02;MARTINIQUE;Français;101.3;Fille;253;47.5;12.8;17.1;18.8;20.2;14.7;16.3
2023;12;02;MARTINIQUE;Mathématiques;101.3;Fille;232;45.6;25.6;23.0;19.9;14.5;8.1;8.9
2023;14;28;NORMANDIE;Français;103.0;Ensemble;250;46.1;13.0;18.1;21.5;19.2;13.7;14.5
2023;14;28;NORMANDIE;Mathématiques;103.0;Ensemble;249;50.1;15.7;19.0;20.2;17.3;12.1;15.6
2023;15;75;NOUVELLE-AQUITAINE;Français;107.7;Ensemble;259;47.5;10.0;14.7;20.3;19.8;16.1;19.1
2023;17;52;PAYS DE LA LOIRE;Français;108.8;Fille;266;47.4;7.1;12.8;18.9;20.4;17.9;22.8
2023;17;52;PAYS DE LA LOIRE;Mathématiques;108.8;Ensemble;259;51.9;12.0;15.9;19.3;17.8;14.1;20.9
2023;18;93;PROVENCE-ALPES-COTE D'AZUR;Français;105.5;Garçon;251;45.9;12.4;18.0;22.3;19.5;13.6;14.4
2023;18;93;PROVENCE-ALPES-COTE D'AZUR;Mathématiques;105.5;Fille;248;48.6;15.3;19.6;21.0;17.5;12.1;14.4
2023;;;NATIONAL;Français;;Ensemble;257;48.4;11.3;15.7;20.1;19.3;15.3;18.2
2023;;;NATIONAL;Mathématiques;;Fille;249;50.0;15.9;19.0;20.3;17.1;12.4;15.3
2024;01;84;AUVERGNE-RHONE-ALPES;Français;109.1;Fille;267;49.2;7.2;12.1;18.8;21.2;17.6;23.1
2024;02;27;BOURGOGNE-FRANCHE-COMTE;Mathématiques;102.7;Fille;249;47.7;13.9;19.4;21.3;18.0;12.6;14.8
